PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,$/SQUARE FEET,HOA/MONTH
Single Family Residential,Overland Park,66213,475000,4,2.5,Nottingham Forest,2682,17557,,177,50
Single Family Residential,Overland Park,66013,820000,5,4,Coventry Valley,3623,11921,2025,226,89
Single Family Residential,Overland Park,66221,805000,4,4.5,Wellington Park Carriage Hills,3812,12723,1995,211,69
Single Family Residential,Overland Park,66223,490000,4,3.5,Sylvan Lake,3218,10018,1993,152,
Single Family Residential,Overland Park,66013,527775,5,3,Southpointe,2714,7840,2024,194,150
Single Family Residential,Overland Park,66013,461212,3,2,Southpointe,1488,8712,2024,310,150
Townhouse,Overland Park,66223,391400,3,3.5,Brittany Highlands,1774,9036,1991,221,
Townhouse,Leawood,66209,525000,3,2.5,The Village of Deer Creek,2454,2838,2003,214,305
Condo/Co-op,Overland Park,66212,245000,2,2.5,Pinebrooke,2070,,1972,118,871
Single Family Residential,Overland Park,66221,675000,4,4.5,Wilshire South,4059,10065,1999,166,71
Single Family Residential,Overland Park,66223,600000,4,3.5,,4010,10890,1992,150,84
Single Family Residential,Overland Park,66221,821768,4,3,Solera Reserve,3299,9221,2023,249,250
Single Family Residential,Overland Park,66207,450000,5,3,Nall Hills,2472,12805,1956,182,21
Single Family Residential,Overland Park,66221,807955,3,3,Solera Reserve,2885,9144,2023,280,250
Single Family Residential,Overland Park,66209,899950,4,5,Turnberry,5384,15774,1994,167,83
Single Family Residential,Overland Park,66212,319900,3,1.5,Overland Orchard,1576,14167,1952,203,
Single Family Residential,Overland Park,66221,785000,5,5.5,Polo Fields,4092,14374,2013,192,
Single Family Residential,Overland Park,66212,265000,3,1.5,Regency Park,1405,8817,1961,189,17
Single Family Residential,Overland Park,66223,400000,4,2.5,Willow Bend,2240,8346,1995,179,
Single Family Residential,Overland Park,66085,662485,4,3.5,Southern Meadows,2780,12566,2025,238,100
Single Family Residential,Overland Park,66221,800000,5,5,Wilshire Farms,4246,10890,2005,188,
Single Family Residential,Overland Park,66210,475000,4,3.5,Park Crossing,2877,11245,1994,165,63
Single Family Residential,Overland Park,66213,485000,4,3,Bedford Downs,3591,11634,1990,135,40
Single Family Residential,Overland Park,66204,225000,2,1,Santa Fe Vista,768,10860,1948,293,
Single Family Residential,Overland Park,66013,456830,3,2,Southpointe,1518,10454,2024,301,150
Single Family Residential,Overland Park,66013,514425,5,3,Southpointe,2468,9583,2024,208,71
Single Family Residential,Overland Park,66221,729000,4,3,Solera Reserve,2991,9092,2018,244,250
Single Family Residential,Overland Park,66223,475000,4,3.5,Green Meadows,2391,9583,1995,199,38
Single Family Residential,Stilwell,66085,849000,4,3,Wyngate,3798,16026,2009,224,100
Single Family Residential,Overland Park,66221,720000,4,4.5,Nottingham Forest South,4692,14852,1990,153,84
Single Family Residential,Olathe,66062,725000,4,3.5,Highlands of Kensington,2987,16988,2012,243,58
Single Family Residential,Overland Park,66212,380000,4,2,Woodstock,2200,8712,1966,173,
Single Family Residential,Overland Park,66209,749950,4,4.5,Harwycke,4620,14065,1988,162,89
Single Family Residential,Overland Park,66221,700000,4,3.5,Switzer Lake Estates,4355,82764,1988,161,67
Single Family Residential,Overland Park,66223,615000,4,4.5,Shadow Brook,3904,9563,2001,158,84
Single Family Residential,Overland Park,66212,310000,3,2,Tomahawk Ridge,1646,11025,1971,188,
Townhouse,Leawood,66209,429900,4,3.5,Nottingham Down,2323,16170,1987,185,125
Single Family Residential,Overland Park,66213,675000,4,4.5,Fontainebleau,5380,17424,1993,125,41
Single Family Residential,Overland Park,66213,450000,4,3,Bedford Downs,3048,9583,1995,148,40
Single Family Residential,Overland Park,66223,590000,4,3,Heatherwood,3103,8842,2001,190,150
Single Family Residential,Overland Park,66213,825000,4,4,Melrose Reserve,3982,9961,2017,207,200
Single Family Residential,Overland Park,66214,399999,3,2.5,Westbrooke,1924,18214,1961,208,
Single Family Residential,Overland Park,66212,385000,4,2.5,Windgates,1806,9583,1966,213,
Townhouse,Overland Park,66210,285000,3,3,Executive Hills,2142,810,1983,133,378
Single Family Residential,Overland Park,66212,300000,3,2,Fern Valley,1508,9799,1955,199,
Single Family Residential,Overland Park,66204,285000,2,1,Glennwood Addition,882,11356,1951,323,
Single Family Residential,Overland Park,66204,399000,3,3.5,,2875,29620,1951,139,
Single Family Residential,Overland Park,66212,529000,4,2.5,Wycliff,2320,17299,1969,228,
Single Family Residential,Overland Park,66221,679900,5,4.5,Forest Glen by the Lake,4026,9147,2005,169,67
Townhouse,Overland Park,66210,275000,3,2,Quivira Falls,1849,2110,1978,149,
Single Family Residential,Prairie Village,66208,399950,3,2,Prairie Village,1677,8124,1951,238,
Single Family Residential,Overland Park,66204,265000,2,1,Santa Fe Vista,988,9480,1950,268,
Single Family Residential,Overland Park,66202,325000,4,2.5,Milburn View,1614,8125,1951,201,
Single Family Residential,Overland Park,66221,600000,3,3.5,Willowbrook,2761,5428,1995,217,270
Single Family Residential,Overland Park,66213,499000,4,2.5,Somerset Pointe,3132,12990,1995,159,33
Single Family Residential,Overland Park,66013,420000,3,3,Southpointe,2003,4800,2022,210,71
Single Family Residential,Overland Park,66223,535000,4,2.5,Regency By The Lake,3001,10357,1999,178,46
Single Family Residential,Overland Park,66204,255000,2,1,Prairie View,864,9583,1950,295,
Single Family Residential,Overland Park,66204,449000,3,3,Copley Place,2019,24970,1950,222,
Single Family Residential,Overland Park,66204,354900,4,2,Maple Crest,1425,9148,1953,249,
Single Family Residential,Overland Park,66212,400000,4,3.5,Sylvan Grove,2206,10174,1964,181,
